title,experienceLevel,Skills,state,companyName,Salary,contractType,city
Software Engineer,Not Applicable,"C++, Data Structures, Algorithms",Telangana,Microsoft,730433,Full-time,Hyderabad
Software Engineer,Mid-Senior level,"AWS, Docker, Kubernetes",Karnataka,Intuit,481292,Full-time,Bengaluru
Bigbasket - Software Development Engineer - Test - Manual Testing,Entry level,"C++, Data Structures, Algorithms",Karnataka,bigbasket.com,700621,Full-time,Bengaluru
Software Engineer Test,Mid-Senior level,"C++, Data Structures, Algorithms",Karnataka,PhonePe,1075322,Full-time,Bangalore Urban
Software Engineer - Entry Level - Java,Entry level,"Python, SQL, Machine Learning",Tamil Nadu,Xybion Digital,355226,Full-time,Chennai
Software Engineer,Entry level,"AWS, Docker, Kubernetes",Tamil Nadu,Tech Mahindra,1450430,Full-time,Chennai
SDE III-Front END (React.JS),Mid-Senior level,"AWS, Docker, Kubernetes",Karnataka,Vista,1354367,Full-time,Bengaluru
Software Engineer ( Intern ),Internship,"AWS, Docker, Kubernetes",Karnataka,Fortanix,690052,Temporary,Bengaluru
Software Development Engineer,Entry level,"AWS, Docker, Kubernetes",Karnataka,BharatX,633155,Full-time,Bengaluru
Software Engineer,Mid-Senior level,"Java, Spring Boot, Microservices",Haryana,Impetus,775068,Full-time,Gurugram
Web / UI Developer (HTML5 / CSS3 / JavaScript),Entry level,"Data Analysis, Excel, Power BI",Tamil Nadu,OptiRisk India,596209,Full-time,Chennai
"Software Engineer - Backend (3-5yrs), Pune",Associate,"Data Analysis, Excel, Power BI",Maharashtra,PhonePe,338268,Full-time,Pune
Software Developer,Mid-Senior level,"AWS, Docker, Kubernetes",Karnataka,Oracle,1338673,Full-time,Bengaluru
Software Engineer (Python),Entry level,"Java, Spring Boot, Microservices",Karnataka,Soroco,356671,Full-time,Bengaluru
Software Engineer,Not Applicable,"AWS, Docker, Kubernetes",Telangana,Microsoft,866674,Full-time,Hyderabad
"Software Engineer, Core",Not Applicable,"Python, SQL, Machine Learning",Karnataka,Google,850888,Full-time,Bengaluru
Software Engineer,Mid-Senior level,"Java, Spring Boot, Microservices",Karnataka,Impetus,1274340,Full-time,Bengaluru
Web developer,Entry level,"Java, Spring Boot, Microservices",Uttar Pradesh,Naukripay,903172,Contract,Ghaziabad
Software Development Engineer,Associate,"Communication, Leadership, Teamwork",Karnataka,Razorpay,1133762,Full-time,Bengaluru
Web Application Developer,Associate,"Cybersecurity, Network Security, Ethical Hacking",Maharashtra,Godrej Group,960424,Full-time,Mumbai
Software Engineer,Entry level,"React, JavaScript, HTML, CSS",Uttar Pradesh,Indus Valley Partners,1141369,Full-time,Noida
SDE-I (Full-stack Developer),Entry level,"Cybersecurity, Network Security, Ethical Hacking",Maharashtra,Mindtickle,329364,Full-time,Pune
Software Engineer,Mid-Senior level,"Java, Spring Boot, Microservices",Karnataka,HCLTech,806662,Full-time,Bengaluru
Web Developer,Entry level,"Communication, Leadership, Teamwork",Maharashtra,Sumago Infotech Pvt. Ltd.,349669,Full-time,Nashik
Web Developer,Executive,"Python, SQL, Machine Learning",Tamil Nadu,Xerago,477086,Full-time,Chennai
Software Engineer,Associate,"Data Analysis, Excel, Power BI",Maharashtra,Mastercard,1307986,Full-time,Pune
Software Engineer- 2,Not Applicable,"C++, Data Structures, Algorithms",Telangana,Microsoft,958126,Full-time,Hyderabad
"Software Engineer, Machine Learning, Google Ads",Not Applicable,"Java, Spring Boot, Microservices",Telangana,Google,564703,Full-time,Hyderabad
Software Engineer 2,Associate,"Communication, Leadership, Teamwork",Karnataka,Intuit,858592,Full-time,Bengaluru
Web Developer,Executive,"React, JavaScript, HTML, CSS",Karnataka,livecristle,1044556,Full-time,Bengaluru
Software Engineer,Entry level,"Python, SQL, Machine Learning",Haryana,Infinite Computer Solutions,1477837,Full-time,Gurgaon
React Developer,Mid-Senior level,"Python, SQL, Machine Learning",Maharashtra,Coforge,837573,Full-time,Pune
Associate Software Engineer,Entry level,"AWS, Docker, Kubernetes",Uttar Pradesh,aeroqube inc.,954152,Full-time,Noida
Software Engineer,Not Applicable,"Communication, Leadership, Teamwork",Karnataka,Microsoft,681396,Full-time,Bengaluru
"Software Engineer, AI Platform",Not Applicable,"React, JavaScript, HTML, CSS",Karnataka,LinkedIn,524239,Full-time,Bengaluru
Software Development,Entry level,"C++, Data Structures, Algorithms",Uttar Pradesh,Crunchy Fashion Private Limited,1439988,Internship,Noida
Software Engineer - Intern,Entry level,"Data Analysis, Excel, Power BI",Karnataka,Hypersonix Inc.,1273288,Internship,Bengaluru
Web Developer,Entry level,"Cybersecurity, Network Security, Ethical Hacking",Maharashtra,Acme Services,1206644,Full-time,Mumbai
"Software Engineer Intern, Frontend",Internship,"Data Analysis, Excel, Power BI",Karnataka,Houseware,590997,Other,Bengaluru
Software Engineer I,Entry level,"C++, Data Structures, Algorithms",Maharashtra,Gilbarco Veeder-Root,1067222,Full-time,Mumbai
Web Developer,Associate,"Java, Spring Boot, Microservices",Delhi,Tradenfill,413575,Full-time,Delhi
Web DevelopeR - pune,Entry level,"Cybersecurity, Network Security, Ethical Hacking",Maharashtra,"DC Consultants(India,USA,Australia,GCC)",1053279,Full-time,Pune
Java Developer,Entry level,"AWS, Docker, Kubernetes",Kerala,GVR BUSINESS TRANSFORMS,992673,Full-time,Kochi
Web Developer,Executive,"React, JavaScript, HTML, CSS",Uttarakhand,rankmantra,1373755,Full-time,Dehradun
Web Developer,Entry level,"Java, Spring Boot, Microservices",Uttar Pradesh,Ramyoz,534043,Full-time,Noida
web developer,Mid-Senior level,"Data Analysis, Excel, Power BI",Maharashtra,Times And Trends Academy,411297,Full-time,Pune
Software Engineer,Not Applicable,"Cybersecurity, Network Security, Ethical Hacking",Uttar Pradesh,Microsoft,1338488,Full-time,Noida
Web Developer,Associate,"React, JavaScript, HTML, CSS",Delhi,Tradenfill,1203569,Full-time,Delhi
Software Developer,Entry level,"Python, SQL, Machine Learning",Telangana,Cytrion Software Solutions Pvt Ltd,588713,Full-time,Hyderabad
Web Developer,Associate,"Cybersecurity, Network Security, Ethical Hacking",Tamil Nadu,Careernet,523845,Full-time,Chennai
React JS Developer- Software Engineer,Associate,"C++, Data Structures, Algorithms",Karnataka,Hashone Careers,1434512,Full-time,Bengaluru
Web Developer,Entry level,"Communication, Leadership, Teamwork",Tamil Nadu,Raga Designers,473385,Full-time,Chennai
Software Engineer - UI,Not Applicable,"AWS, Docker, Kubernetes",Telangana,Turvo Inc.,1060190,Full-time,Hyderabad
Software Engineer Intern,Internship,"C++, Data Structures, Algorithms",Karnataka,Thena,1038099,Internship,Bengaluru
InsuranceDekho - Full Stack Software Development Engineer I - React.js/Node.js,Entry level,"Communication, Leadership, Teamwork",Haryana,InsuranceDekho,949823,Full-time,Gurugram
Software Development Engineer 1 - Frontend,Executive,"React, JavaScript, HTML, CSS",Karnataka,YO HR Consultancy,330354,Full-time,Bengaluru North
SDE 1,Mid-Senior level,"Cybersecurity, Network Security, Ethical Hacking",Karnataka,Multi Recruit,492040,Full-time,Bengaluru
Junior Full Stack Engineer,Entry level,"Python, SQL, Machine Learning",Maharashtra,Cloud Counselage Pvt. Ltd.,975400,Full-time,Malad
web developer,Entry level,"C++, Data Structures, Algorithms",Haryana,CIEL HR,858845,Full-time,Gurgaon
Web Developer,Executive,"Communication, Leadership, Teamwork",Gujarat,Teqto Infotech,795826,Full-time,Rajkot
Full Stack Software Engineer,Entry level,"C++, Data Structures, Algorithms",Maharashtra,Flair Labs,608156,Full-time,Mumbai
SDE 2 - Backend,Not Applicable,"Communication, Leadership, Teamwork",Karnataka,Jar,496632,Full-time,Bengaluru
Software Development Engineer - II (Backend),Not Applicable,"Python, SQL, Machine Learning",Maharashtra,Upstox,937663,Full-time,Mumbai
Web Developer (Front-End),Entry level,"Python, SQL, Machine Learning",Maharashtra,Altorise,663030,Full-time,Mumbai
Upstox - Software Development Engineer - II/III (Frontend),Mid-Senior level,"Communication, Leadership, Teamwork",Maharashtra,Upstox,1478598,Full-time,Mumbai
React Developer,Entry level,"Cybersecurity, Network Security, Ethical Hacking",Haryana,Quantified HR Private Limited,994172,Full-time,Gurgaon
full Stack Developer,Entry level,"AWS, Docker, Kubernetes",Maharashtra,GM Infotech,417215,Full-time,Mumbai
Software Engineer 2,Not Applicable,"AWS, Docker, Kubernetes",Telangana,Microsoft,664709,Full-time,Hyderabad
Web Developer,Associate,"Data Analysis, Excel, Power BI",Maharashtra,CN Solutions,1326253,Full-time,Mumbai
Software Engineer - Frontend,Entry level,"React, JavaScript, HTML, CSS",Karnataka,Yugen.ai,707553,Full-time,Bengaluru
Junior Frontend Web Developer,Entry level,"Java, Spring Boot, Microservices",Karnataka,BuildBear Labs,339600,Full-time,Bengaluru
Jr. Web Developer,Entry level,"Cybersecurity, Network Security, Ethical Hacking",Gujarat,Communication Crafts,351022,Full-time,Ahmedabad
Data Scientist I,Associate,"React, JavaScript, HTML, CSS",Haryana,Urban Company,411304,Full-time,Gurugram
Data Scientist (AI/ML),Mid-Senior level,"Java, Spring Boot, Microservices",Maharashtra,Tata Technologies,1439389,Full-time,Pune
Data Scientist- BLR HYD GGN,Mid-Senior level,"C++, Data Structures, Algorithms",Karnataka,Genpact,557540,Full-time,Bengaluru
Data Scientist,Mid-Senior level,"Communication, Leadership, Teamwork",Karnataka,LTIMindtree,708391,Full-time,Bengaluru
Data Scientist,Mid-Senior level,"C++, Data Structures, Algorithms",Karnataka,IQVIA,756530,Full-time,Bengaluru
Data Science,Mid-Senior level,"C++, Data Structures, Algorithms",Haryana,Dimensions HRD Consultants,905258,Full-time,Gurugram
Data Scientist,Mid-Senior level,"Communication, Leadership, Teamwork",Maharashtra,LTIMindtree,1110108,Full-time,Pune
Data Scientist (People & HR Analytics),Associate,"C++, Data Structures, Algorithms",Karnataka,Endeavor,1409558,Full-time,Bengaluru
Data Scientist,Mid-Senior level,"Data Analysis, Excel, Power BI",Haryana,IndusInd Bank,565737,Full-time,Gurugram
Data Scientist,Mid-Senior level,"Data Analysis, Excel, Power BI",Karnataka,LTIMindtree,910217,Full-time,Bangalore Urban
Data Scientist,Mid-Senior level,"Communication, Leadership, Teamwork",Maharashtra,Tech Mahindra,837945,Full-time,Pune
Data Scientist,Executive,"C++, Data Structures, Algorithms",Maharashtra,LTIMindtree,1220418,Full-time,Pune
Machine Learning Engineer,Mid-Senior level,"Python, SQL, Machine Learning",Haryana,IndusInd Bank,907004,Full-time,Gurugram
Data Scientist (People & HR Analytics),Associate,"Communication, Leadership, Teamwork",Haryana,Endeavor,1471608,Full-time,Gurugram
Data Scientist,Mid-Senior level,"Python, SQL, Machine Learning",Karnataka,LTIMindtree,1087189,Full-time,Bangalore Urban
Data Scientist,Mid-Senior level,"Communication, Leadership, Teamwork",Maharashtra,LTIMindtree,1171012,Full-time,Mumbai
Data Scientist,Associate,"Java, Spring Boot, Microservices",Haryana,Spinny,1054873,Full-time,Gurugram
Data Scientist,Mid-Senior level,"Cybersecurity, Network Security, Ethical Hacking",Maharashtra,Fusemachines,1018857,Contract,Pune
Data Scientist,Mid-Senior level,"C++, Data Structures, Algorithms",Tamil Nadu,Infosys Finacle,841973,Full-time,Chennai
Data Scientist,Associate,"React, JavaScript, HTML, CSS",Karnataka,Joveo,1316972,Full-time,Bangalore Urban
"Data Scientist, Research, Search",Not Applicable,"Java, Spring Boot, Microservices",Karnataka,Google,420299,Full-time,Bengaluru
Data Scientist,Mid-Senior level,"React, JavaScript, HTML, CSS",Karnataka,Tietoevry,591133,Full-time,Bengaluru
Data Scientist - Image Processing,Mid-Senior level,"React, JavaScript, HTML, CSS",Karnataka,Philips,321706,Full-time,Bengaluru
Data Scientist,Associate,"AWS, Docker, Kubernetes",Maharashtra,SLB,317143,Full-time,Pune
Machine Learning Engineer,Associate,"Java, Spring Boot, Microservices",Karnataka,YO HR Consultancy,422199,Full-time,Bengaluru North
AI ENGINEER,Mid-Senior level,"Cybersecurity, Network Security, Ethical Hacking",Maharashtra,Nexus Hire,894652,Full-time,Pune
Python developer,Associate,"C++, Data Structures, Algorithms",Karnataka,deployd.io,503190,Full-time,Bengaluru
Machine Learning Ops Engineer,Entry level,"C++, Data Structures, Algorithms",Maharashtra,Tamcherry - Zaportiv,338979,Full-time,Mumbai
Machine Learning,Entry level,"Data Analysis, Excel, Power BI",Tamil Nadu,Reach Skyline,1016989,Internship,Chennai
Machine Learning Engineer - Python,Entry level,"AWS, Docker, Kubernetes",Karnataka,Vizolt Tech Solutions Pvt Ltd,722633,Full-time,Bengaluru
Machine Learning Engineer,Mid-Senior level,"AWS, Docker, Kubernetes",Karnataka,H2O.ai,1443308,Full-time,Bengaluru
Lead Data Scientist,Mid-Senior level,"AWS, Docker, Kubernetes",Karnataka,Epsilon India,655871,Full-time,Bengaluru
Data Scientist,Mid-Senior level,"Cybersecurity, Network Security, Ethical Hacking",Telangana,Sanofi,1328228,Full-time,Hyderabad
Machine Learning Engineer (Python / NLP),Entry level,"React, JavaScript, HTML, CSS",Karnataka,MeetRecord,673846,Full-time,Bengaluru
MACHINE LEARNING AI PLATFORM ENGINEER,Entry level,"React, JavaScript, HTML, CSS",Karnataka,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",360070,Full-time,Bangalore Urban
Python Developer,Entry level,"Python, SQL, Machine Learning",Telangana,Fusion Plus Solutions Inc,701815,Full-time,Hyderabad
Senior Data Scientist,Mid-Senior level,"Communication, Leadership, Teamwork",Karnataka,InfoVision Inc.,666842,Full-time,Bengaluru
Data Scientist,Entry level,"Communication, Leadership, Teamwork",Karnataka,66degrees,396131,Full-time,Mysuru
Machine Learning Engineer,Entry level,"Communication, Leadership, Teamwork",Karnataka,56 Secure,736512,Full-time,Bengaluru
Applied Scientist,Not Applicable,"Cybersecurity, Network Security, Ethical Hacking",Telangana,Microsoft,897672,Full-time,Hyderabad
AI/ML Engineer,Mid-Senior level,"C++, Data Structures, Algorithms",Madhya Pradesh,K-RY Tech Advisory,602457,Full-time,Indore
Lead Data Scientist,Mid-Senior level,"Java, Spring Boot, Microservices",Karnataka,Piramal Capital & Housing Finance Limited,1352418,Full-time,Bengaluru
Senior Machine Learning Engineer,Mid-Senior level,"Python, SQL, Machine Learning",Karnataka,VerSe Innovation,1128980,Full-time,Bangalore Urban
Machine Learning Engineer - Python/SQL,Entry level,"AWS, Docker, Kubernetes",Karnataka,Infiniti Research Ltd.,984729,Full-time,Bengaluru
"Software Engineer - NLP, Machine Learning",Mid-Senior level,"Python, SQL, Machine Learning",Kerala,Forsta,654265,Full-time,Trivandrum
Data Scientist - II,Mid-Senior level,"Java, Spring Boot, Microservices",Karnataka,YO HR Consultancy,921779,Full-time,Bengaluru North
Data Scientist,Not Applicable,"Cybersecurity, Network Security, Ethical Hacking",Karnataka,IBM,956166,Full-time,Bengaluru East
Data Scientist,Mid-Senior level,"AWS, Docker, Kubernetes",Maharashtra,Optimum Data Analytics,929000,Full-time,Pune
Deep Learning Engineer,Entry level,"Data Analysis, Excel, Power BI",Karnataka,Inferigence Quotient,1206404,Internship,Bengaluru
Data Scientists with career break-Woman,Entry level,"AWS, Docker, Kubernetes",Karnataka,Her Second Innings,434139,Full-time,Bengaluru
Data Scientist,Mid-Senior level,"Java, Spring Boot, Microservices",Karnataka,10times,446336,Full-time,Bengaluru
Lead Data Scientist,Director,"Python, SQL, Machine Learning",Karnataka,"iitjobs, Inc.",690788,Contract,Bengaluru
Data Scientist,Entry level,"Python, SQL, Machine Learning",Haryana,Talent Socio(We're Hiring!!),1469319,Full-time,Gurgaon
Data Scientists with career break-Woman,Entry level,"AWS, Docker, Kubernetes",Maharashtra,Her Second Innings,866800,Full-time,Mumbai
Machine Learning Engineer,Entry level,"AWS, Docker, Kubernetes",Maharashtra,TAC Security,1199693,Full-time,Mumbai
Python Development,Entry level,"Communication, Leadership, Teamwork",Uttar Pradesh,Jarvics Technologies,596027,Internship,Saharanpur
Price and Promo- Data Scientist,Mid-Senior level,"Cybersecurity, Network Security, Ethical Hacking",Telangana,PepsiCo,579192,Full-time,Peerancheru
Data Scientist - Kochi,Entry level,"React, JavaScript, HTML, CSS",Kerala,RipplesIndia Group,435945,Full-time,Kochi
Lead Data Scientist,Mid-Senior level,"Java, Spring Boot, Microservices",Madhya Pradesh,Artivatic.ai,302494,Full-time,Indore
Data Scientists with career break-Woman,Entry level,"Communication, Leadership, Teamwork",Maharashtra,Her Second Innings,526374,Full-time,Pune
Applied Data Scientist - 2,Not Applicable,"Cybersecurity, Network Security, Ethical Hacking",Karnataka,Microsoft,1304485,Full-time,Bengaluru
Python & Machine Learning Engineer - Pandas/Numpy,Entry level,"React, JavaScript, HTML, CSS",Karnataka,THire Global Services,842666,Full-time,Bengaluru
Data Scientist,Not Applicable,"Cybersecurity, Network Security, Ethical Hacking",Karnataka,IBM,1252980,Full-time,Bengaluru East
Machine Learning Engineer,Mid-Senior level,"Communication, Leadership, Teamwork",Karnataka,Hunt&Badge Consulting Pvt Ltd (A Hudson RPO Company),1097811,Full-time,Bengaluru North
Data Scientist,Mid-Senior level,"AWS, Docker, Kubernetes",Telangana,Tata Consultancy Services,682290,Full-time,Hyderabad
Machine Learning Engineer,Mid-Senior level,"C++, Data Structures, Algorithms",Karnataka,UprightHC Solutions Private Limited,1281661,Full-time,Bengaluru
Data Scientist,Mid-Senior level,"Data Analysis, Excel, Power BI",Karnataka,HCapital Technologies Private Limited,486912,Full-time,Bangalore Urban
Data Scientist,Associate,"Java, Spring Boot, Microservices",Haryana,Yum! Digital & Tech India,536544,Full-time,Gurugram
Junior ML Engineer,Entry level,"Python, SQL, Machine Learning",Karnataka,Qween Network LLP,392865,Full-time,Bengaluru
AI Safety Data Scientist,Not Applicable,"Cybersecurity, Network Security, Ethical Hacking",Karnataka,Google,1362157,Full-time,Bengaluru
Data Scientist,Associate,"React, JavaScript, HTML, CSS",Karnataka,Quantzig,1391701,Full-time,Bengaluru
Datascientist,Entry level,"Cybersecurity, Network Security, Ethical Hacking",Tamil Nadu,Teralanx Solutions,1294847,Full-time,Chennai
AI/ML consultants_GCP Build,Not Applicable,"Java, Spring Boot, Microservices",Maharashtra,Capgemini,524157,Full-time,Mumbai
Machine Learning,Entry level,"Cybersecurity, Network Security, Ethical Hacking",Uttar Pradesh,MindMap Consulting,526278,Internship,Noida
Data Scientist,Executive,"Communication, Leadership, Teamwork",Karnataka,Quantzig,585215,Full-time,Bangalore Urban
Data Scientist,Mid-Senior level,"Python, SQL, Machine Learning",Karnataka,InnoWave,614965,Full-time,Bengaluru
Immediate opening for Data Scientist- Delhi (Hybrid),Associate,"React, JavaScript, HTML, CSS",India,HTC Global Services,1442506,Full-time,Delhi
Machine Learning Engineer - MLOps,Mid-Senior level,"Cybersecurity, Network Security, Ethical Hacking",Karnataka,Quantiphi,1229012,Full-time,Bengaluru
Data Scientist,Entry level,"Communication, Leadership, Teamwork",Maharashtra,QuinStreet,683719,Full-time,Pune
Senior Machine Learning Engineer,Mid-Senior level,"Communication, Leadership, Teamwork",Karnataka,Infosys,653903,Full-time,Bangalore Urban
Lead Data Scientist,Associate,"AWS, Docker, Kubernetes",Karnataka,Freshworks,1290713,Full-time,Bengaluru
"Senior Software Engineer, Machine Learning",Not Applicable,"React, JavaScript, HTML, CSS",Karnataka,LinkedIn,562638,Full-time,Bengaluru
Machine Learning Engineer,Mid-Senior level,"Java, Spring Boot, Microservices",Karnataka,Quantzig,1068409,Full-time,Bengaluru
AI Safety Data Scientist,Not Applicable,"Communication, Leadership, Teamwork",Telangana,Google,440336,Full-time,Hyderabad
"Product Data Scientist, Security",Not Applicable,"Data Analysis, Excel, Power BI",Karnataka,Google,329212,Full-time,Bengaluru
Data Scientist,Associate,"React, JavaScript, HTML, CSS",Karnataka,Tata Consultancy Services,531813,Full-time,Bengaluru
ML Engineer,Entry level,"Data Analysis, Excel, Power BI",Telangana,Typeface,854594,Full-time,Hyderabad
Data Scientist,Mid-Senior level,"React, JavaScript, HTML, CSS",Maharashtra,True Tech Professionals,536973,Full-time,Pune
Data Scientist,Associate,"C++, Data Structures, Algorithms",Haryana,Acuity Knowledge Partners,1326634,Full-time,Gurugram
Data Scientist,Associate,"Data Analysis, Excel, Power BI",Karnataka,Creative Synergies Group,674807,Full-time,Bengaluru
Python Developer,Entry level,"AWS, Docker, Kubernetes",Telangana,Coforge,1029789,Full-time,Hyderabad
Senior Data Scientist,Mid-Senior level,"Python, SQL, Machine Learning",Karnataka,Simpl,520258,Full-time,Bengaluru
Data Scientist,Associate,"C++, Data Structures, Algorithms",Telangana,Tata Consultancy Services,985759,Full-time,Hyderabad
Data Scientist,Not Applicable,"C++, Data Structures, Algorithms",Maharashtra,A.P. Moller - Maersk,1481668,Full-time,Pune
Data Scientist,Entry level,"Java, Spring Boot, Microservices",India,Virtusa,520309,Full-time,Andhra Pradesh
Data Scientist - 3,Mid-Senior level,"AWS, Docker, Kubernetes",Karnataka,Navi,1377047,Full-time,Bangalore Urban
Machine learning developer,Mid-Senior level,"Data Analysis, Excel, Power BI",Telangana,NuStar Technologies,1064791,Full-time,Hyderabad
Sr. Data Scientist – IoT data & Satellite Analytics,Associate,"React, JavaScript, HTML, CSS",Maharashtra,Carnot Technologies,1134939,Full-time,Mumbai
Data Scientist,Mid-Senior level,"Cybersecurity, Network Security, Ethical Hacking",Karnataka,Equifax,929906,Full-time,Bengaluru
ML Engineer,Mid-Senior level,"C++, Data Structures, Algorithms",Karnataka,Applied Graphics Technologies,413666,Contract,Bangalore Urban
Data Scientist,Mid-Senior level,"Cybersecurity, Network Security, Ethical Hacking",Karnataka,Quantzig,908256,Full-time,Bengaluru
Machine Learning Engineer,Entry level,"C++, Data Structures, Algorithms",Karnataka,Cotocus,1184479,Full-time,Bengaluru
Data Scientist,Mid-Senior level,"C++, Data Structures, Algorithms",Karnataka,News Corp,323647,Full-time,Bengaluru
Data Scientist,Entry level,"AWS, Docker, Kubernetes",Telangana,DATAECONOMY,1311465,Full-time,Secunderābād
Data Scientist,Mid-Senior level,"Communication, Leadership, Teamwork",Telangana,Tata Consultancy Services,612203,Full-time,Hyderabad
Area Sales Executive,Mid-Senior level,"Python, SQL, Machine Learning",Gujarat,Britannia Industries Limited,1219804,Full-time,Vapi
Area Sales Executive,Mid-Senior level,"Data Analysis, Excel, Power BI",Gujarat,Britannia Industries Limited,1093979,Full-time,Porbandar
Sr. Sales Executive,Not Applicable,"Java, Spring Boot, Microservices",Karnataka,Flipkart,660978,Full-time,Bengaluru
Area Sales Executive,Mid-Senior level,"Data Analysis, Excel, Power BI",Bihar,Britannia Industries Limited,786040,Full-time,Muzaffarpur
Area Sales Executive,Mid-Senior level,"Java, Spring Boot, Microservices",Goa,Britannia Industries Limited,411365,Full-time,Panaji
Area Sales Executive,Mid-Senior level,"AWS, Docker, Kubernetes",Karnataka,AB InBev GCC India,1410865,Full-time,Bengaluru
Account Executive - SMB,Not Applicable,"Communication, Leadership, Teamwork",Karnataka,LinkedIn,357717,Full-time,Bengaluru
Relationship Manager | Field Sales and Servicing | B2B Sales,Mid-Senior level,"C++, Data Structures, Algorithms",Delhi,Tata Cummins,625666,Full-time,Delhi
Sales Manager I,Mid-Senior level,"Data Analysis, Excel, Power BI",India,Swiggy,728456,Full-time,Himachal Pradesh
Retails Sales Executive,Executive,"Java, Spring Boot, Microservices",Uttar Pradesh,GIVA,1325076,Full-time,Lucknow
Counter Sales Executive,Entry level,"Python, SQL, Machine Learning",Gujarat,ORRA Fine Jewellery,527133,Full-time,Surat
Relationship Manager | Field Sales and Servicing | B2B Sales,Mid-Senior level,"Data Analysis, Excel, Power BI",Uttar Pradesh,Tata Cummins,717046,Full-time,Agra
Retail Sales Executive,Executive,"Communication, Leadership, Teamwork",Karnataka,GIVA,782441,Full-time,Bengaluru
Sales Executive,Associate,"React, JavaScript, HTML, CSS",Maharashtra,Christian Louboutin,527865,Full-time,Mumbai
Relationship Manager | Field Sales and Servicing | B2B Sales,Mid-Senior level,"AWS, Docker, Kubernetes",Gujarat,Tata Cummins,479565,Full-time,Surat
Franchisee Sales Executive,Executive,"AWS, Docker, Kubernetes",India,Tata Communications,412590,Full-time,Chandigarh
Area Sales Manager-Goa (QR Sales),Not Applicable,"Communication, Leadership, Teamwork",India,Paytm,1270421,Full-time,Goa
Key Account Manager- Jaipur (QR Sales),Not Applicable,"Python, SQL, Machine Learning",Rajasthan,Paytm,624980,Full-time,Jaipur
Key Account Manager : Pune (QR Sales ),Not Applicable,"Java, Spring Boot, Microservices",Maharashtra,Paytm,1228239,Full-time,Pune
Associate Sales Manager,Mid-Senior level,"React, JavaScript, HTML, CSS",India,Swiggy,421009,Full-time,Uttar Pradesh
CSD Area Sales Manager,Associate,"Data Analysis, Excel, Power BI",Maharashtra,Bacardi,805647,Full-time,Mumbai
Assistant Manager - Channel Sales,Associate,"Data Analysis, Excel, Power BI",Haryana,Welspun World,378328,Full-time,Gurugram
Sales Manager II,Entry level,"Java, Spring Boot, Microservices",West Bengal,Swiggy,426755,Full-time,Kolkata
Assistant Manager - Channel Sales,Associate,"Communication, Leadership, Teamwork",Maharashtra,Welspun World,1141982,Full-time,Mumbai
